#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
154,Jake Meyers,HOU,OF,OF,-8.6,11.4,5,17,16,3,4,1,2,0,0,1,2,0.250,0.294,0.500,0.794,0,676694
155,Shohei Ohtani,LAD,DH,DH,-8.7,11.8,5,19,14,3,2,2,2,0,0,5,6,0.143,0.368,0.571,0.940,100,6602710
156,Kyle Schwarber,PHI,DH,OF,-9.0,5.2,6,28,24,3,7,1,1,0,0,4,10,0.292,0.393,0.417,0.810,100,16478
157,Austin Slater,FA,OF,OF,-9.0,20.3,3,9,7,1,2,0,0,2,0,2,2,0.286,0.444,0.286,0.730,0,596103
158,Noelvi Marte,CIN,3B/OF,3B/OF,-9.0,25.3,4,15,15,2,3,2,2,0,0,0,4,0.200,0.200,0.667,0.867,100,682622
159,Jake Burger,TEX,1B,1B,-9.3,5.7,6,25,23,2,6,1,3,0,0,2,8,0.261,0.320,0.478,0.798,99,669394
160,Ali Sanchez,NYY,C,C,-9.4,70.5,2,7,7,1,4,0,2,0,0,0,2,0.571,0.571,0.714,1.286,0,645305
161,Liam Hicks,MIA,C/1B,C/1B,-9.5,5.5,6,29,25,2,8,0,3,0,0,3,5,0.320,0.393,0.320,0.713,100,689414
162,Nolan Schanuel,LAA,1B,1B,-9.7,8.8,5,23,17,4,4,1,1,0,0,4,2,0.235,0.435,0.412,0.847,10,694384
163,Pavin Smith,ARI,1B,1B,-10.3,16.5,4,10,9,2,3,1,1,0,0,1,1,0.333,0.400,0.667,1.067,0,656976
164,Kerry Carpenter,DET,OF,OF,-10.3,8.0,5,13,11,1,3,1,3,0,0,1,4,0.273,0.385,0.636,1.021,98,681481
165,Dominic Canzone,SEA,OF,OF,-10.3,2.2,6,23,18,2,5,1,2,0,0,4,4,0.278,0.435,0.444,0.879,82,686527
166,Brooks Lee,MIN,2B/SS/ 3B,2B/SS/ 3B,-10.9,9.0,5,22,20,3,4,1,3,0,0,2,0,0.200,0.273,0.400,0.673,97,686797
167,Braxton Fulford,COL,C,C,-10.9,29.7,3,9,6,2,2,0,3,0,0,2,2,0.333,0.444,0.667,1.111,0,690924
168,Tommy Troy,ARI,2B/OF,2B/OF,-11.0,18.5,4,14,14,2,3,1,3,0,0,0,3,0.214,0.214,0.571,0.786,3,694371
